object_name,object_type,status,last_ddl_time
AIGES_SCORES,TABLE,VALID,2025-08-09 16:55:45
API_KEYS,TABLE,VALID,2025-08-09 16:55:45
ATTRIBUTION,TABLE,VALID,2025-08-09 16:55:45
CANDIDATE_USERS,TABLE,VALID,2024-12-15 12:50:24
COMPANY_ESG_INPUTS,TABLE,VALID,2024-11-16 14:13:57
COMPANY_ESG_INPUTS_LEVEL_1,TABLE,VALID,2024-12-15 12:44:04
CONTACT_US_MESSAGES,TABLE,VALID,2024-11-17 09:03:56
DR$ESG_DOCS_TEXT_IDX$B,TABLE,VALID,2025-10-14 12:41:17
DR$ESG_DOCS_TEXT_IDX$C,TABLE,VALID,2025-10-14 12:41:17
DR$ESG_DOCS_TEXT_IDX$I,TABLE,VALID,2025-10-14 12:41:18
DR$ESG_DOCS_TEXT_IDX$K,TABLE,VALID,2025-10-14 12:41:18
DR$ESG_DOCS_TEXT_IDX$N,TABLE,VALID,2025-10-14 12:41:17
DR$ESG_DOCS_TEXT_IDX$Q,TABLE,VALID,2025-10-14 12:41:17
DR$ESG_DOCS_TEXT_IDX$U,TABLE,VALID,2025-10-14 12:41:17
DR$X_ESG_NEWS_TEXT_FT$B,TABLE,VALID,2025-08-13 09:42:44
DR$X_ESG_NEWS_TEXT_FT$C,TABLE,VALID,2025-08-13 09:42:44
DR$X_ESG_NEWS_TEXT_FT$I,TABLE,VALID,2025-08-13 09:42:43
DR$X_ESG_NEWS_TEXT_FT$K,TABLE,VALID,2025-08-13 09:42:43
DR$X_ESG_NEWS_TEXT_FT$N,TABLE,VALID,2025-08-13 09:42:43
DR$X_ESG_NEWS_TEXT_FT$Q,TABLE,VALID,2025-08-13 09:42:44
DR$X_ESG_NEWS_TEXT_FT$U,TABLE,VALID,2025-08-13 09:42:44
DR$X_ESG_NEWS_TITLE_FT$B,TABLE,VALID,2025-08-13 09:42:43
DR$X_ESG_NEWS_TITLE_FT$C,TABLE,VALID,2025-08-13 09:42:43
DR$X_ESG_NEWS_TITLE_FT$I,TABLE,VALID,2025-08-13 09:42:43
DR$X_ESG_NEWS_TITLE_FT$K,TABLE,VALID,2025-08-13 09:42:43
DR$X_ESG_NEWS_TITLE_FT$N,TABLE,VALID,2025-08-13 09:42:43
DR$X_ESG_NEWS_TITLE_FT$Q,TABLE,VALID,2025-08-13 09:42:43
DR$X_ESG_NEWS_TITLE_FT$U,TABLE,VALID,2025-08-13 09:42:43
DR$X_NEWS_ITEMS_FT$B,TABLE,VALID,2025-08-13 09:42:41
DR$X_NEWS_ITEMS_FT$C,TABLE,VALID,2025-08-13 09:42:41
DR$X_NEWS_ITEMS_FT$I,TABLE,VALID,2025-08-13 09:42:41
DR$X_NEWS_ITEMS_FT$K,TABLE,VALID,2025-08-13 09:42:41
DR$X_NEWS_ITEMS_FT$N,TABLE,VALID,2025-08-13 09:42:41
DR$X_NEWS_ITEMS_FT$Q,TABLE,VALID,2025-08-13 09:42:41
DR$X_NEWS_ITEMS_FT$U,TABLE,VALID,2025-08-13 09:42:41
DR$X_NEWS_ITEMS_SUMMARY_FT$B,TABLE,VALID,2025-08-13 09:42:42
DR$X_NEWS_ITEMS_SUMMARY_FT$C,TABLE,VALID,2025-08-13 09:42:42
DR$X_NEWS_ITEMS_SUMMARY_FT$I,TABLE,VALID,2025-08-13 09:42:42
DR$X_NEWS_ITEMS_SUMMARY_FT$K,TABLE,VALID,2025-08-13 09:42:42
DR$X_NEWS_ITEMS_SUMMARY_FT$N,TABLE,VALID,2025-08-13 09:42:42
DR$X_NEWS_ITEMS_SUMMARY_FT$Q,TABLE,VALID,2025-08-13 09:42:42
DR$X_NEWS_ITEMS_SUMMARY_FT$U,TABLE,VALID,2025-08-13 09:42:42
EBA_DEMO_CHART_BBALL,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_DEPT,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_EMP,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_GRADES,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_ORDERS,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_POPULATION,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_PRODUCTS,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_PROJECTS,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_SAMPLES,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_SAMPLE_DATA,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_SAMPLE_NAMES,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_STATS,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_STOCKS,TABLE,VALID,2024-11-15 15:35:10
EBA_DEMO_CHART_TASKS,TABLE,VALID,2024-11-15 15:35:10
EEA_LIST_UPLOADED,TABLE,VALID,2024-11-13 14:20:12
EEA_LIST_UPLOADED_OLD,TABLE,VALID,2024-11-13 14:16:28
EEA_LIST_UPLOAD_DOWNLOAD,TABLE,VALID,2024-11-13 21:13:25
EEA_LIST_UPLOAD_DOWNLOAD_OLD,TABLE,VALID,2024-11-07 10:20:56
EEA_LIST_UPLOAD_PENDING,TABLE,VALID,2024-11-08 16:13:10
EMEA_GREEN_BOND_ISS_PERC,TABLE,VALID,2024-11-03 19:05:21
ESG_ATTRIBUTION_DAILY,TABLE,VALID,2025-08-08 21:10:51
ESG_BENCHMARKS,TABLE,VALID,2025-08-08 21:10:51
ESG_BENCHMARK_PRICES,TABLE,VALID,2025-08-08 21:10:51
ESG_COMPANIES,TABLE,VALID,2025-08-08 21:10:51
ESG_CONSTITUENT_PRICES,TABLE,VALID,2025-08-08 21:10:51
ESG_DOCS,TABLE,VALID,2025-10-14 12:41:18
ESG_EMBEDDINGS,TABLE,VALID,2025-10-14 10:24:58
ESG_INDEX_LEVELS,TABLE,VALID,2025-08-08 21:10:51
ESG_METADATA,TABLE,VALID,2025-05-16 09:05:53
ESG_NEWS,TABLE,VALID,2025-08-13 09:42:44
