object_name,object_type,category,proposed_old_name,runtime_hits,ddl_hits,hard_deps,inbound_fk,synonyms,notes,recommended_action
CONTACT_US_MESSAGES,TABLE,application_or_apex_object,OLD_CONTACT_US_MESSAGES,0,24,0,0,0,ddl_mentions_only,RENAME_TO_OLD
DR$ESG_DOCS_TEXT_IDX$B,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$ESG_DOCS_TEXT_IDX$C,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$ESG_DOCS_TEXT_IDX$I,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$ESG_DOCS_TEXT_IDX$K,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$ESG_DOCS_TEXT_IDX$N,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$ESG_DOCS_TEXT_IDX$Q,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$ESG_DOCS_TEXT_IDX$U,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TEXT_FT$B,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TEXT_FT$C,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TEXT_FT$I,TABLE,oracle_managed_internal,,0,21,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TEXT_FT$K,TABLE,oracle_managed_internal,,0,6,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TEXT_FT$N,TABLE,oracle_managed_internal,,0,9,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TEXT_FT$Q,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TEXT_FT$U,TABLE,oracle_managed_internal,,0,6,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TITLE_FT$B,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TITLE_FT$C,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TITLE_FT$I,TABLE,oracle_managed_internal,,0,21,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TITLE_FT$K,TABLE,oracle_managed_internal,,0,6,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TITLE_FT$N,TABLE,oracle_managed_internal,,0,9,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TITLE_FT$Q,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_ESG_NEWS_TITLE_FT$U,TABLE,oracle_managed_internal,,0,6,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_FT$B,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_FT$C,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_FT$I,TABLE,oracle_managed_internal,,0,21,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_FT$K,TABLE,oracle_managed_internal,,0,6,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_FT$N,TABLE,oracle_managed_internal,,0,9,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_FT$Q,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_FT$U,TABLE,oracle_managed_internal,,0,6,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_SUMMARY_FT$B,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_SUMMARY_FT$C,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_SUMMARY_FT$I,TABLE,oracle_managed_internal,,0,21,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_SUMMARY_FT$K,TABLE,oracle_managed_internal,,0,6,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_SUMMARY_FT$N,TABLE,oracle_managed_internal,,0,9,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_SUMMARY_FT$Q,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_SUMMARY_FT$U,TABLE,oracle_managed_internal,,0,6,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
EEA_LIST_UPLOADED,TABLE,application_or_apex_object,OLD_EEA_LIST_UPLOADED,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
EEA_LIST_UPLOADED_OLD,TABLE,application_or_apex_object,OLD_EEA_LIST_UPLOADED_OLD,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
EEA_LIST_UPLOAD_DOWNLOAD,TABLE,application_or_apex_object,OLD_EEA_LIST_UPLOAD_DOWNLOAD,0,15,0,0,0,ddl_mentions_only,RENAME_TO_OLD
