object_name,object_type,hit_count,hit_locations
CONTACT_US_MESSAGES,TABLE,0,
DR$ESG_DOCS_TEXT_IDX$B,TABLE,0,
DR$ESG_DOCS_TEXT_IDX$C,TABLE,0,
DR$ESG_DOCS_TEXT_IDX$I,TABLE,0,
DR$ESG_DOCS_TEXT_IDX$K,TABLE,0,
DR$ESG_DOCS_TEXT_IDX$N,TABLE,0,
DR$ESG_DOCS_TEXT_IDX$Q,TABLE,0,
DR$ESG_DOCS_TEXT_IDX$U,TABLE,0,
DR$X_ESG_NEWS_TEXT_FT$B,TABLE,0,
DR$X_ESG_NEWS_TEXT_FT$C,TABLE,0,
DR$X_ESG_NEWS_TEXT_FT$I,TABLE,0,
DR$X_ESG_NEWS_TEXT_FT$K,TABLE,0,
DR$X_ESG_NEWS_TEXT_FT$N,TABLE,0,
DR$X_ESG_NEWS_TEXT_FT$Q,TABLE,0,
DR$X_ESG_NEWS_TEXT_FT$U,TABLE,0,
DR$X_ESG_NEWS_TITLE_FT$B,TABLE,0,
DR$X_ESG_NEWS_TITLE_FT$C,TABLE,0,
DR$X_ESG_NEWS_TITLE_FT$I,TABLE,0,
DR$X_ESG_NEWS_TITLE_FT$K,TABLE,0,
DR$X_ESG_NEWS_TITLE_FT$N,TABLE,0,
DR$X_ESG_NEWS_TITLE_FT$Q,TABLE,0,
DR$X_ESG_NEWS_TITLE_FT$U,TABLE,0,
DR$X_NEWS_ITEMS_FT$B,TABLE,0,
DR$X_NEWS_ITEMS_FT$C,TABLE,0,
DR$X_NEWS_ITEMS_FT$I,TABLE,0,
DR$X_NEWS_ITEMS_FT$K,TABLE,0,
DR$X_NEWS_ITEMS_FT$N,TABLE,0,
DR$X_NEWS_ITEMS_FT$Q,TABLE,0,
DR$X_NEWS_ITEMS_FT$U,TABLE,0,
DR$X_NEWS_ITEMS_SUMMARY_FT$B,TABLE,0,
DR$X_NEWS_ITEMS_SUMMARY_FT$C,TABLE,0,
DR$X_NEWS_ITEMS_SUMMARY_FT$I,TABLE,0,
DR$X_NEWS_ITEMS_SUMMARY_FT$K,TABLE,0,
DR$X_NEWS_ITEMS_SUMMARY_FT$N,TABLE,0,
DR$X_NEWS_ITEMS_SUMMARY_FT$Q,TABLE,0,
DR$X_NEWS_ITEMS_SUMMARY_FT$U,TABLE,0,
EEA_LIST_UPLOADED,TABLE,0,
EEA_LIST_UPLOADED_OLD,TABLE,0,
EEA_LIST_UPLOAD_DOWNLOAD,TABLE,0,
EEA_LIST_UPLOAD_DOWNLOAD_OLD,TABLE,0,
EEA_LIST_UPLOAD_PENDING,TABLE,0,
EMEA_GREEN_BOND_ISS_PERC,TABLE,0,
ESG_EMBEDDINGS,TABLE,0,
ESG_METADATA,TABLE,0,
ESG_SCORES,TABLE,0,
EU_SDG_13_31_AVG_CO2_KM_NEW_PASSENGER_CARS,TABLE,0,
INDEX_ACTIONS,TABLE,0,
INDEX_BALANCE_SHEET,TABLE,0,
INDEX_CASH_FLOW,TABLE,0,
INDEX_CONSTITUENT_PRICES,TABLE,0,
INDEX_DAILY_LEVELS,TABLE,0,
INDEX_DAILY_RETURNS,TABLE,0,
INDEX_DIVIDENDS,TABLE,0,
INDEX_ESG_SCORES,TABLE,0,
INDEX_FINANCIALS,TABLE,0,
INDEX_REBALANCE_DATES,TABLE,0,
INDEX_SPLITS,TABLE,0,
INDEX_STOCK_PRICES,TABLE,0,
NEWS_SOURCES,TABLE,0,
SC_IDX_DIVISOR,TABLE,7,docs/index_engine_v1.md:12; docs/index_engine_v1.md:21; docs/index_engine_overview.md:7; oracle_scripts/sc_idx_index_engine_v1_drop.sql:12; oracle_scripts/sc_idx_index_engine_v1_drop.sql:14
SC_IDX_HOLDINGS,TABLE,7,docs/index_engine_v1.md:11; docs/index_engine_v1.md:20; docs/index_engine_overview.md:6; oracle_scripts/sc_idx_index_engine_v1_drop.sql:21; oracle_scripts/sc_idx_index_engine_v1_drop.sql:23
SC_IDX_JOB_RUNS,TABLE,9,docs/index_engine_daily.md:6; docs/index_engine_daily.md:23; app/index_engine/run_log.py:22; app/index_engine/run_log.py:57; app/index_engine/run_log.py:90
SC_IDX_LEVELS,TABLE,8,docs/index_engine_v1.md:13; docs/index_engine_v1.md:22; docs/index_engine_overview.md:8; oracle_scripts/sc_idx_index_engine_v1_drop.sql:3; oracle_scripts/sc_idx_index_engine_v1_drop.sql:5
SC_IDX_PRICES_CANON,TABLE,13,docs/index_engine_v1.md:10; docs/index_engine_v1.md:18; docs/index_engine_overview.md:5; docs/index_engine_backfill.md:28; docs/index_engine_backfill.md:31
SC_IDX_PRICES_RAW,TABLE,17,tools/index_engine/verify_pipeline.py:69; tools/index_engine/verify_pipeline.py:75; tools/index_engine/verify_pipeline.py:83; tools/index_engine/verify_pipeline.py:94; docs/index_engine_v1.md:9
TECH100_COMPANIES,TABLE,0,
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_CHECKPOINTS,TABLE,0,
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_SHARED_JOURNAL_CHANGE_LOG,TABLE,0,
VECTOR$ESG_DOCS_HNSW$165913_172112_2$HNSW_ROWID_VID_MAP,TABLE,0,
ESG_BENCH_RISK_30D,VIEW,0,
ESG_INDEX_RISK_30D,VIEW,0,
ESG_INDEX_VS_BENCH_YTD,VIEW,0,
ESG_SCORE_00,VIEW,0,
ESG_SCORE_ENVIRONMENTAL,VIEW,0,
ESG_SCORE_GOVERNANCE,VIEW,0,
ESG_SCORE_SOCIAL,VIEW,0,
NET_GREENHOUSE_GAS_EMISSIONS_MAX_YEAR,VIEW,0,
SC_CHUNKS,VIEW,0,
TECH11_AI_GOV_ETH_PERF_00,VIEW,0,
V_NEWS_RECENT,VIEW,4,tests/test_news_service_fetch.py:109; tests/test_news_service.py:45; app/news_service.py:128; app/news_service.py:159
V_NEWS_SEARCH,VIEW,0,
V_TECH100_NEWS,VIEW,0,
