table_name,num_rows,last_analyzed,blocks,row_count_value,row_count_method,row_count_threshold_blocks
AIGES_SCORES,2,2025-08-09 17:10:44,5,2,STATS,200
API_KEYS,,,,,UNKNOWN,200
ATTRIBUTION,2,2025-08-09 17:10:45,5,2,STATS,200
CANDIDATE_USERS,1,2024-12-30 09:52:16,5,1,STATS,200
COMPANY_ESG_INPUTS,1,2024-11-16 14:22:55,5,1,STATS,200
COMPANY_ESG_INPUTS_LEVEL_1,4,2024-12-15 13:50:25,5,4,STATS,200
CONTACT_US_MESSAGES,5,2024-12-25 21:26:08,5,5,STATS,200
DR$ESG_DOCS_TEXT_IDX$B,,,,,UNKNOWN,200
DR$ESG_DOCS_TEXT_IDX$C,,,,,UNKNOWN,200
DR$ESG_DOCS_TEXT_IDX$I,,,,,UNKNOWN,200
DR$ESG_DOCS_TEXT_IDX$K,,,,,UNKNOWN,200
DR$ESG_DOCS_TEXT_IDX$N,,,,,UNKNOWN,200
DR$ESG_DOCS_TEXT_IDX$Q,,,,,UNKNOWN,200
DR$ESG_DOCS_TEXT_IDX$U,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TEXT_FT$B,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TEXT_FT$C,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TEXT_FT$I,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TEXT_FT$K,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TEXT_FT$N,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TEXT_FT$Q,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TEXT_FT$U,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TITLE_FT$B,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TITLE_FT$C,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TITLE_FT$I,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TITLE_FT$K,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TITLE_FT$N,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TITLE_FT$Q,,,,,UNKNOWN,200
DR$X_ESG_NEWS_TITLE_FT$U,,,,,UNKNOWN,200
DR$X_NEWS_ITEMS_FT$B,,,,,UNKNOWN,200
DR$X_NEWS_ITEMS_FT$C,,,,,UNKNOWN,200
