object_name,category,recommended_action,suggested_old_name,text_index_name,base_table_name,notes,hard_deps,fk_inbound,synonyms,text_hits
CONTACT_US_MESSAGES,application_or_apex_table,RENAME_TABLE_TO_OLD,OLD_CONTACT_US_MESSAGES,,,,0,0,0,0
DR$ESG_DOCS_TEXT_IDX$B,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,ESG_DOCS_TEXT_IDX,ESG_DOCS,ctx_user_indexes: index=ESG_DOCS_TEXT_IDX base_table=ESG_DOCS text_col=CHUNK_TEXT,0,0,0,0
DR$ESG_DOCS_TEXT_IDX$C,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,ESG_DOCS_TEXT_IDX,ESG_DOCS,ctx_user_indexes: index=ESG_DOCS_TEXT_IDX base_table=ESG_DOCS text_col=CHUNK_TEXT,0,0,0,0
DR$ESG_DOCS_TEXT_IDX$I,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,ESG_DOCS_TEXT_IDX,ESG_DOCS,ctx_user_indexes: index=ESG_DOCS_TEXT_IDX base_table=ESG_DOCS text_col=CHUNK_TEXT,0,0,0,0
DR$ESG_DOCS_TEXT_IDX$K,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,ESG_DOCS_TEXT_IDX,ESG_DOCS,ctx_user_indexes: index=ESG_DOCS_TEXT_IDX base_table=ESG_DOCS text_col=CHUNK_TEXT,0,0,0,0
DR$ESG_DOCS_TEXT_IDX$N,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,ESG_DOCS_TEXT_IDX,ESG_DOCS,ctx_user_indexes: index=ESG_DOCS_TEXT_IDX base_table=ESG_DOCS text_col=CHUNK_TEXT,0,0,0,0
DR$ESG_DOCS_TEXT_IDX$Q,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,ESG_DOCS_TEXT_IDX,ESG_DOCS,ctx_user_indexes: index=ESG_DOCS_TEXT_IDX base_table=ESG_DOCS text_col=CHUNK_TEXT,0,0,0,0
DR$ESG_DOCS_TEXT_IDX$U,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,ESG_DOCS_TEXT_IDX,ESG_DOCS,ctx_user_indexes: index=ESG_DOCS_TEXT_IDX base_table=ESG_DOCS text_col=CHUNK_TEXT,0,0,0,0
DR$X_ESG_NEWS_TEXT_FT$B,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TEXT_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TEXT_FT base_table=ESG_NEWS text_col=TEXT,0,0,0,0
DR$X_ESG_NEWS_TEXT_FT$C,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TEXT_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TEXT_FT base_table=ESG_NEWS text_col=TEXT,0,0,0,0
DR$X_ESG_NEWS_TEXT_FT$I,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TEXT_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TEXT_FT base_table=ESG_NEWS text_col=TEXT,0,0,0,0
DR$X_ESG_NEWS_TEXT_FT$K,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TEXT_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TEXT_FT base_table=ESG_NEWS text_col=TEXT,0,0,0,0
DR$X_ESG_NEWS_TEXT_FT$N,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TEXT_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TEXT_FT base_table=ESG_NEWS text_col=TEXT,0,0,0,0
DR$X_ESG_NEWS_TEXT_FT$Q,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TEXT_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TEXT_FT base_table=ESG_NEWS text_col=TEXT,0,0,0,0
DR$X_ESG_NEWS_TEXT_FT$U,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TEXT_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TEXT_FT base_table=ESG_NEWS text_col=TEXT,0,0,0,0
DR$X_ESG_NEWS_TITLE_FT$B,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TITLE_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TITLE_FT base_table=ESG_NEWS text_col=TITLE,0,0,0,0
DR$X_ESG_NEWS_TITLE_FT$C,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TITLE_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TITLE_FT base_table=ESG_NEWS text_col=TITLE,0,0,0,0
DR$X_ESG_NEWS_TITLE_FT$I,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TITLE_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TITLE_FT base_table=ESG_NEWS text_col=TITLE,0,0,0,0
DR$X_ESG_NEWS_TITLE_FT$K,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TITLE_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TITLE_FT base_table=ESG_NEWS text_col=TITLE,0,0,0,0
DR$X_ESG_NEWS_TITLE_FT$N,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TITLE_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TITLE_FT base_table=ESG_NEWS text_col=TITLE,0,0,0,0
DR$X_ESG_NEWS_TITLE_FT$Q,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TITLE_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TITLE_FT base_table=ESG_NEWS text_col=TITLE,0,0,0,0
DR$X_ESG_NEWS_TITLE_FT$U,oracle_text_internal,RENAME_TEXT_INDEX_NOT_TABLE,,X_ESG_NEWS_TITLE_FT,ESG_NEWS,ctx_user_indexes: index=X_ESG_NEWS_TITLE_FT base_table=ESG_NEWS text_col=TITLE,0,0,0,0
